iter	Passed	Remaining
407	5637	5416
408	5652	5403
409	5666	5389
410	5679	5375
411	5693	5361
412	5707	5348
413	5722	5335
414	5737	5322
415	5752	5310
416	5768	5297
417	5783	5285
418	5796	5271
419	5811	5258
420	5825	5244
421	5839	5230
422	5853	5216
423	5869	5205
424	5882	5190
425	5895	5176
426	5912	5165
427	5927	5152
428	5942	5139
429	5955	5124
430	5969	5110
431	5980	5094
432	5994	5080
433	6008	5066
434	6024	5055
435	6039	5042
436	6053	5028
437	6066	5013
438	6079	4999
439	6093	4985
440	6110	4974
441	6125	4961
442	6140	4948
443	6156	4936
444	6168	4920
445	6181	4906
446	6195	4892
447	6208	4878
448	6221	4863
449	6234	4848
450	6248	4834
451	6264	4822
452	6277	4808
453	6292	4795
454	6307	4782
455	6320	4768
456	6335	4754
457	6348	4740
458	6362	4726
459	6376	4713
460	6392	4700
461	6405	4686
462	6419	4672
463	6433	4658
464	6448	4645
465	6463	4632
466	6478	4619
467	6492	4606
468	6507	4592
469	6523	4580
470	6536	4566
471	6551	4552
472	6565	4539
473	6577	4523
474	6590	4509
475	6601	4493
476	6611	4477
477	6623	4462
478	6638	4448
479	6652	4434
480	6667	4422
481	6683	4409
482	6691	4391
483	6703	4376
484	6717	4363
485	6730	4348
486	6743	4333
487	6757	4320
488	6772	4307
489	6782	4290
490	6796	4277
491	6810	4263
492	6824	4249
493	6839	4236
494	6853	4222
495	6865	4207
496	6876	4192
497	6888	4177
498	6905	4165
499	6919	4151
500	6933	4137
501	6946	4123
502	6960	4109
503	6971	4094
504	6982	4079
505	6995	4064
506	7009	4050
507	7023	4037
508	7039	4024
509	7052	4010
510	7063	3994
511	7076	3980
512	7092	3967
513	7105	3953
514	7120	3940
515	7134	3926
516	7146	3911
517	7161	3898
518	7174	3884
519	7185	3869
520	7196	3853
521	7211	3840
522	7228	3828
523	7243	3815
524	7257	3801
525	7273	3788
526	7287	3775
527	7303	3762
528	7316	3748
529	7329	3733
530	7342	3719
531	7354	3705
532	7370	3691
533	7384	3678
534	7397	3664
535	7414	3652
536	7428	3638
537	7443	3624
538	7458	3611
539	7470	3597
540	7484	3583
541	7496	3568
542	7508	3553
543	7520	3538
544	7534	3525
545	7545	3510
546	7560	3496
547	7575	3483
548	7589	3469
549	7603	3456
550	7617	3442
551	7630	3427
552	7644	3414
553	7656	3399
554	7668	3385
555	7681	3371
556	7696	3357
557	7710	3343
558	7723	3329
559	7737	3316
560	7752	3302
561	7766	3289
562	7780	3275
563	7793	3261
564	7803	3245
565	7816	3231
566	7829	3217
567	7843	3203
568	7856	3189
569	7868	3175
570	7880	3160
571	7898	3148
572	7909	3133
573	7926	3120
574	7940	3107
575	7955	3093
576	7966	3078
577	7977	3064
578	7990	3049
579	8002	3035
580	8016	3021
581	8028	3007
582	8041	2992
583	8054	2979
584	8068	2965
585	8081	2951
586	8093	2936
587	8109	2923
588	8123	2910
589	8137	2896
590	8150	2882
591	8164	2868
592	8178	2854
593	8190	2840
594	8202	2826
595	8216	2812
596	8233	2799
597	8245	2785
598	8261	2772
599	8273	2757
600	8288	2744
601	8302	2730
602	8317	2717
603	8334	2704
604	8349	2691
605	8368	2678
606	8388	2667
607	8405	2654
608	8423	2641
609	8441	2629
610	8463	2618
611	8484	2606
612	8502	2593
613	8519	2580
614	8539	2568
615	8554	2555
616	8567	2541
617	8582	2527
618	8596	2513
619	8607	2498
620	8616	2483
621	8626	2468
622	8641	2455
623	8655	2441
624	8669	2427
625	8680	2412
626	8694	2398
627	8710	2385
628	8724	2371
629	8738	2358
630	8755	2345
631	8766	2330
632	8778	2316
633	8792	2302
634	8806	2288
635	8819	2274
636	8833	2260
637	8844	2245
638	8856	2231
639	8870	2217
640	8885	2204
641	8900	2190
642	8912	2176
643	8926	2162
644	8940	2148
645	8953	2134
646	8967	2120
647	8982	2106
648	8994	2092
649	9008	2078
650	9022	2064
651	9035	2051
652	9046	2036
653	9060	2022
654	9075	2009
655	9093	1996
656	9107	1982
657	9120	1968
658	9134	1954
659	9148	1940
660	9163	1926
661	9174	1912
662	9187	1898
663	9199	1884
664	9214	1870
665	9228	1856
666	9241	1842
667	9256	1829
668	9267	1814
669	9280	1800
670	9295	1787
671	9311	1773
672	9326	1759
673	9338	1745
674	9351	1731
675	9364	1717
676	9376	1703
677	9390	1689
678	9402	1675
679	9416	1661
680	9430	1647
681	9444	1634
682	9461	1620
683	9477	1607
684	9491	1593
685	9505	1579
686	9516	1565
687	9533	1551
688	9547	1538
689	9562	1524
690	9574	1510
691	9587	1496
692	9600	1482
693	9614	1468
694	9626	1454
695	9641	1440
696	9656	1426
697	9669	1413
698	9683	1399
699	9696	1385
700	9708	1371
701	9723	1357
702	9738	1343
703	9751	1329
704	9766	1316
705	9781	1302
706	9796	1288
707	9810	1274
708	9823	1260
709	9837	1246
710	9852	1233
711	9864	1219
712	9881	1205
713	9895	1191
714	9908	1177
715	9922	1164
716	9936	1150
717	9950	1136
718	9963	1122
719	9975	1108
720	9987	1094
721	10000	1080
722	10015	1066
723	10027	1052
724	10042	1038
725	10055	1024
726	10067	1010
727	10080	996
728	10093	983
729	10108	969
730	10122	955
731	10131	941
732	10139	926
733	10153	912
734	10164	898
735	10179	885
736	10192	871
737	10206	857
738	10218	843
739	10232	829
740	10248	816
741	10263	802
742	10279	788
743	10291	774
744	10304	760
745	10319	747
746	10334	733
747	10349	719
748	10365	705
749	10378	691
750	10393	678
751	10407	664
752	10421	650
753	10435	636
754	10449	622
755	10463	609
756	10477	595
757	10491	581
758	10505	567
759	10518	553
760	10530	539
761	10543	525
762	10558	511
763	10571	498
764	10583	484
765	10596	470
766	10608	456
767	10622	442
768	10635	428
769	10648	414
770	10668	401
771	10682	387
772	10696	373
773	10712	359
774	10727	346
775	10743	332
776	10756	318
777	10769	304
778	10783	290
779	10796	276
780	10809	262
781	10819	249
782	10830	235
783	10845	221
784	10858	207
785	10874	193
786	10890	179
787	10903	166
788	10917	152
789	10930	138
790	10946	124
791	10960	110
792	10973	96
793	10989	83
794	11003	69
795	11014	55
796	11027	41
797	11038	27
798	11049	13
799	11064	0
